plot,trt_density,trt,date_marked,date_collected,shoot,growth_days,shoot_length,shoot_width,sheath_length,sheath_width,ref_length,no_blades,repro,lf1_full,lf1_new,lf2_full,lf2_new,lf3_full,lf3_new,lf4_full,lf4_new,lf5_full,lf5_new,lf6_full,lf6_new,lf7_full,lf7_new,lf8_full,lf8_new,lf9_full,lf9_new,bblf_1,bblf_2,bblf_3,shoot_wet_wt,foil_wt,shoot_dry_wt,shoot_biomass,total_lf_ext,rgr,rgr_d,internode1,internode2,internode3,internode4,internode5,internode6,internode7,internode8,internode9,internode10,internode11,internode12,internode13,internode14,internode15,internode16,internode17,internode18,internode19,internode20,internode21,internode22,internode23
18,high,exp,05-Sep-25,16-Sep-25,2,11,81.5,0.5,19.5,0.6,10.5,5,No,28,28,64,32,71,24,67,0,55,0,0,0,0,0,0,0,0,0,0,0,0,,,,,84,4.31,0.36,0.5,1,0.8,1,1.5,1.4,1,1,1.2,1.5,1.5,2,0,0,0,0,0,0,0,0,0,0,0
18,high,exp,05-Sep-25,16-Sep-25,1,11,106.5,0.7,10.5,0.7,0.6,4,No,40.4,32.4,102,34.2,107.4,24.5,108,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,4.4,,,126.2,12.02,1.09,1.5,1.4,1,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,low,control,05-Sep-25,16-Sep-25,1,11,50.5,0.5,12.8,0.6,7.1,4,No,42.1,14.7,29.9,24,20.6,1,5.7,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,2,0.6,1,0.4,39.7,3.1,0.28,0.9,0.6,1,1.1,1.3,0.9,0.8,0.7,0.7,0.5,0.4,0.4,0.5,0.6,0.4,0.3,0,0,0,0,0,0,0
19,low,control,05-Sep-25,16-Sep-25,2,11,68.6,0.7,18.3,0.7,6.3,5,No,20.1,20.1,52.6,35.4,62.5,19.5,57.4,1.7,49.5,0,0,0,0,0,0,0,0,0,0,0,0,5.6,,2.02,2.02,76.7,4.19,0.38,1.6,1.8,0.9,1.3,1.4,1.1,1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,low,control,05-Sep-25,16-Sep-25,3,11,69.8,0.5,15,0.6,4.7,6,No,15,15,48.3,39.2,65.1,26.8,58.8,5,47.5,1,41.2,0,0,0,0,0,0,0,0,0,0,5.2,0.8,1.7,0.9,87,5.8,0.53,0.7,1.3,1.2,1.2,1.2,1.1,1.1,1,0.8,0.7,0.5,0.5,0.4,0.4,0.3,0.3,0.4,0,0,0,0,0,0
20,low,control,05-Sep-25,16-Sep-25,1,11,55.1,0.6,14.5,0.6,6.7,3,No,51,3.2,9.3,1.9,12.2,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,7.2,0.5,0.05,0.7,0.7,0.9,0.6,0.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,low,control,05-Sep-25,16-Sep-25,4,11,56.2,0.8,17,0.6,16.2,3,No,52.1,13.3,20.1,19.6,14.6,14.6,0,0,0,0,0,0,0,0,0,0,0,0,12.2,12.6,13.6,,,,,47.5,2.79,0.25,1.9,2.4,2.9,2.2,2.4,2.8,2.9,2.2,1.9,1.5,1.4,1.3,0,0,0,0,0,0,0,0,0,0,0
20,low,control,05-Sep-25,16-Sep-25,2,11,79,0.7,18.7,0.6,10.1,4,No,22.3,2.7,55.7,0.6,60.4,0.2,65.1,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,,,,,3.5,0.19,0.02,1.9,1.7,2.2,1.8,1.6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,low,control,05-Sep-25,16-Sep-25,3,11,68.8,0.7,17.2,0.7,9.7,4,No,31.4,4.6,51.3,3.1,58.8,0.6,59.7,0,0,0,0,0,0,0,0,0,0,0,7.7,6.3,5.2,,,,,8.3,0.48,0.04,1.9,2.3,1.4,2,1.6,1.7,1.5,2.1,1.1,1.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0
21,low,control,05-Sep-25,16-Sep-25,2,11,86.9,0.7,19.2,0.8,8.4,4,No,74.4,43.5,78.5,14,71.7,1.5,61.8,0,0,0,0,0,0,0,0,0,0,0,38,0,0,7.6,1.1,,,59,3.07,0.26,0.5,1.5,2.1,2,1.9,1.5,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,low,control,05-Sep-25,16-Sep-25,3,11,28.5,0.7,18.1,0.7,9.2,5,No,46.3,43.1,59.6,34.9,69.4,8.5,48,1,24.6,0.1,0,0,0,0,0,0,0,0,0,0,0,4.9,0.9,,,87.6,4.84,0.4,1.3,1,1.2,1.1,0.9,1,1,1.4,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,low,control,05-Sep-25,16-Sep-25,1,11,79.2,0.7,20.2,0.8,6.5,5,No,41.2,40.3,70.5,41.6,72,15.7,63.5,1.5,56.9,0,0,0,0,0,0,0,0,0,5.2,0,0,6,1.4,2.3,0.9,99.1,4.91,0.41,0.3,1.5,2.3,1.9,1.9,1.7,1.3,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,high,exp,05-Sep-25,16-Sep-25,2,11,123.1,0.7,18.8,0.6,13,6,No,19.7,19.7,76.6,49.5,103.9,25.8,100.4,1.4,101.7,0.2,51.9,0,0,0,0,0,0,0,0,0,0,13.8,1.1,3.7,2.6,96.6,16.66,1.51,1.2,1.4,1.7,0.9,0.8,1.2,1.5,1.9,1.8,1.7,1.8,1.8,2.1,0,0,0,0,0,0,0,0,0,0
22,high,exp,05-Sep-25,16-Sep-25,3,11,120.6,0.6,13.1,0.4,7.6,6,No,21.1,21.1,43.9,30,77.4,48.1,109.3,1.8,108.2,0.1,93.5,0,0,0,0,0,0,0,0,0,0,,2.5,4.8,2.3,101.1,18.38,1.67,1.6,1.8,1.7,1.9,2.1,2.2,2.3,1.8,1.8,2,2.1,2.3,2.4,0,0,0,0,0,0,0,0,0,0
22,high,exp,05-Sep-25,16-Sep-25,1,11,123.3,0.7,13.2,0.5,8.8,8,No,12.8,12.8,104.4,39.4,63,40.6,91.6,0,101.8,5.4,104.3,1.1,9.1,0,21,0,0,0,0,0,0,,0.7,3.1,2.4,99.3,22.57,2.05,1.6,1.8,2,1.6,1.9,2.1,2.4,2.4,2.6,3.1,2.9,2.5,0,0,0,0,0,0,0,0,0,0,0
23,low,control,05-Sep-25,16-Sep-25,3,11,66.9,0.7,17,0.8,3.6,6,no,14.7,14.7,44.5,36.1,38.9,28.6,63.6,6.4,53.7,1.1,47.1,0,0,0,0,0,0,0,0,0,0,6.2,0.8,,,86.9,5.11,0.46,1.5,1.6,1.7,1.8,1.8,1.4,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
