"","plot","Treatment","Trt_density","sept_5_density1","sept_5_density_exp","sept_6_density","sept_6_quadrat","sept_6_zj","sept_6_macro","sept_6_detritus","sept_16_density","sept_16_macro","sept_16_detritus","sept_16_zj","Trt.comb","density_diff","shoot","growth_days","shoot_length","shoot_width","sheath_length","ref_length","no_blades","repro","lf1_full","lf1_new","lf2_full","lf2_new","lf3_full","lf3_new","lf4_full","lf4_new","lf5_full","lf5_new","lf6_full","lf6_new","lf7_full","lf7_new","lf8_full","lf8_new","lf9_full","lf9_new","bblf_1","bblf_2","bblf_3","shoot_wet_wt","foil_wt","shoot_dry_wt","shoot_biomass","internode1","internode2","internode3","internode4","internode5","internode6","internode7","internode8","internode9","internode10","internode11","internode12","internode13","internode14","internode15","internode16","internode17","internode18","internode19","internode20","internode21","internode22","internode23","bblf_count","no_leaves","no_rhiz_int","Total_extension"
"36","15","high","exp",146,90,54,18,0,5,2,68,0,0,0,"exp_high",14,4,11,111,0.7,24.9,6.3,5,"No",36,36,90.1,44.1,104.4,12.8,90.4,0.8,58.1,0,0,0,0,0,0,0,0,0,0,0,0,9.9,1.2,2.8,1.6,1.4,1.6,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,100
"37","15","high","exp",146,90,54,18,0,5,2,68,0,0,0,"exp_high",14,1,11,101,0.8,23.5,10.4,6,"No",30.6,29.3,77.4,42.4,45.9,15.9,88,1.6,73,0.3,71.5,0,0,0,0,0,0,0,0,0,0,11.2,3,5,2,1.4,1.2,1.4,1.9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,99.9
"38","16","low","control",72,72,52,15,0,0,0,69,0,20,1,"control_low",17,4,11,48.2,0.5,13.1,5,5,"No",18.6,18.6,32.6,26.7,42,7.7,41.5,0.7,37.3,0,0,0,0,0,0,0,0,0,3.5,0,0,3.4,1.2,1.8,0.6,0.7,1.1,1.1,1,1,1.2,1,1,0.6,0.8,0.6,0.8,1,0.8,0.6,1,1,10.8,0.5,0.3,0.3,0.3,0.6,1,5,23,62.2
"39","16","low","control",72,72,52,15,0,0,0,69,0,20,1,"control_low",17,3,11,72.5,0.6,16.2,7.8,5,"No",16.2,16.2,46.8,31.5,64.5,22.2,62,2.6,29.3,0,0,0,0,0,0,0,0,0,2.6,0,0,4.5,1,1.77,0.77,1.4,1.7,1.9,2.1,1.8,2,1.9,2,1.9,2.1,1.9,2,0,0,0,0,0,0,0,0,0,0,0,1,5,12,82.9
"40","16","low","control",72,72,52,15,0,0,0,69,0,20,1,"control_low",17,1,11,67,0.8,16.8,6.8,6,"No",4.4,4.4,19.4,19.4,14.2,14.2,61.3,5.3,59.6,2.5,53.3,0,0,0,0,0,0,0,0,0,0,7.9,3,4.2,1.2,1.8,2,1.8,2,2.8,2.6,2.4,1.9,1.7,1.8,1.6,1.4,1.1,1.2,1.4,1.6,1.1,0.9,0.7,0.8,0,0,0,0,6,20,52.6
"41","16","low","control",72,72,52,15,0,0,0,69,0,20,1,"control_low",17,2,11,63.6,0.7,15,5.9,6,"No",8.3,8.3,35.2,32.2,59.4,31.9,58.7,9.7,56.8,1.3,37.8,0,0,0,0,0,0,0,0,0,0,5,1.1,2,0.9,1.6,1.7,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,89.3
"42","17","high","control",120,120,NA,NA,NA,NA,NA,45,5,20,0,"control_high",NA,1,11,104,0.8,9,8.5,6,"No",61.1,37.5,97.5,15.3,91.5,1,79.5,0,72,0,0,0,0,0,0,0,0,0,15,0,0,9.5,0,4.52,0,1,1.5,1.6,1.5,2,2.5,2.5,2.5,2,2,2.3,2.5,0,0,0,0,0,0,0,0,0,0,0,1,5,12,77.3
"43","18","high","exp",100,90,101,27,0,0,20,56,4,6,0,"exp_high",-45,1,11,97.5,0.5,48.5,11,5,"No",55.6,43,86.6,21,75,44,17.2,0,70.5,19,0,0,0,0,0,0,0,0,10.5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.8,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,10,148.5
"44","18","high","exp",100,90,101,27,0,0,20,56,4,6,0,"exp_high",-45,2,11,81.5,0.5,19.5,10.5,5,"No",28,28,64,32,71,24,67,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.8,1,1.5,1.4,1,1,1.2,1.5,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,12,94.5
"45","18","high","exp",100,90,101,27,0,0,20,56,4,6,0,"exp_high",-45,1,11,106.5,0.7,10.5,0.6,4,"No",40.4,32.4,102,34.2,107.4,24.5,108,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,4.4,0,0,1.5,1.4,1,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,126.8
